"","대여소ID","총대여건수","구분","대여소명.x","대여일자","대여건수","대여소주소","위도","경도","기준시작일자","거치대수","temp","freqByBike","freqByBike_total"
"150",126,8704,"마포구","126. 서강대 후문 옆",201905,2721,"서울특별시 마포구 대흥로 122",37.550411,126.943848,"42254.440868055557",20,1,136.1,435.2
"151",126,8704,"마포구","126. 서강대 후문 옆",201902,564,"서울특별시 마포구 대흥로 122",37.550411,126.943848,"42254.440868055557",20,1,28.2,435.2
"152",126,8704,"마포구","126. 서강대 후문 옆",201904,2192,"서울특별시 마포구 대흥로 122",37.550411,126.943848,"42254.440868055557",20,1,109.6,435.2
"153",126,8704,"마포구","126. 서강대 후문 옆",201901,703,"서울특별시 마포구 대흥로 122",37.550411,126.943848,"42254.440868055557",20,1,35.1,435.2
"154",127,2712,"마포구","127. 현대벤처빌 앞",201812,287,"서울특별시 마포구 백범로 10",37.55352,126.936951,"42254.441435185188",15,1,19.1,180.8
"155",127,2712,"마포구","127. 현대벤처빌 앞",201904,656,"서울특별시 마포구 백범로 10",37.55352,126.936951,"42254.441435185188",15,1,43.7,180.8
"156",127,2712,"마포구","127. 현대벤처빌 앞",201901,273,"서울특별시 마포구 백범로 10",37.55352,126.936951,"42254.441435185188",15,1,18.2,180.8
"157",127,2712,"마포구","127. 현대벤처빌 앞",201902,251,"서울특별시 마포구 백범로 10",37.55352,126.936951,"42254.441435185188",15,1,16.7,180.8
"158",127,2712,"마포구","127. 현대벤처빌 앞",201903,566,"서울특별시 마포구 백범로 10",37.55352,126.936951,"42254.441435185188",15,1,37.7,180.8
"159",127,2712,"마포구","127. 현대벤처빌 앞",201905,679,"서울특별시 마포구 백범로 10",37.55352,126.936951,"42254.441435185188",15,1,45.3,180.8
"160",128,8735,"서대문구","128. 신촌역(2호선) 1번출구 옆",201902,764,"서울특별시 서대문구 연세로 3-5",37.555496,126.93634,"42254.441921296297",20,1,38.2,436.8
"161",128,8735,"서대문구","128. 신촌역(2호선) 1번출구 옆",201812,1044,"서울특별시 서대문구 연세로 3-5",37.555496,126.93634,"42254.441921296297",20,1,52.2,436.8
"162",128,8735,"서대문구","128. 신촌역(2호선) 1번출구 옆",201901,885,"서울특별시 서대문구 연세로 3-5",37.555496,126.93634,"42254.441921296297",20,1,44.2,436.8
"163",128,8735,"서대문구","128. 신촌역(2호선) 1번출구 옆",201904,1892,"서울특별시 서대문구 연세로 3-5",37.555496,126.93634,"42254.441921296297",20,1,94.6,436.8
"164",128,8735,"서대문구","128. 신촌역(2호선) 1번출구 옆",201905,2724,"서울특별시 서대문구 연세로 3-5",37.555496,126.93634,"42254.441921296297",20,1,136.2,436.8
"165",128,8735,"서대문구","128. 신촌역(2호선) 1번출구 옆",201903,1426,"서울특별시 서대문구 연세로 3-5",37.555496,126.93634,"42254.441921296297",20,1,71.3,436.8
